Week,Phase,Day,Exercise,Sets,Reps,Intensity Target,Actual Load,Actual Reps,Coaching Notes
1,Accumulation,Day 1 (Mon),Broad Jump,3,3,Crisp and submaximal,,,Reset fully between reps. Land quietly.
1,Accumulation,Day 1 (Mon),Back Squat,3,5,RPE 7,,,Cap weight if pain exceeds 2/10. Progression: add 2.5-5kg next week if all sets hit target RPE with good bar speed; repeat load if last set exceeds target RPE by 0.5+.
1,Accumulation,Day 1 (Mon),Deficit Stiff-Leg Deadlift,2,5,RPE 7,,,Strict 4-second slow eccentric. Keep hinge volume conservative.
1,Accumulation,Day 1 (Mon),Symmetrical Ring Pull-ups,3,Max - 2,2 RIR,,,Use neutral grip on rings to protect elbow.
1,Accumulation,Day 2 (Tue),Med-Ball Scoop Toss,3,3,Crisp and fast,,,Throw each rep hard. Full reset between reps.
1,Accumulation,Day 2 (Tue),Power Clean,4,3,70%,,,Focus on high bar velocity and perfect footwork.
1,Accumulation,Day 2 (Tue),Bench Press,3,5,RPE 7,,,Do not train to failure. Leave 3 reps in reserve.
1,Accumulation,Day 2 (Tue),Chest-Supported Row,3,10,RPE 7,,,Build upper-back volume to balance pressing.
1,Accumulation,Day 2 (Tue),Concept2 Row,1,20-30 min,Zone 2,,,Maintain smooth continuous stroke rate.
1,Accumulation,Day 3 (Wed),Run Intervals,5,60s hard / 60s easy,High,,,Target 5k pacing on the hard efforts.
1,Accumulation,Day 3 (Wed),Weighted V-Ups,3,10-12,Moderate,,,
1,Accumulation,Day 3 (Wed),Pallof Press,3,10 / side,Moderate,,,Keep ribs down and resist rotation.
1,Accumulation,Day 3 (Wed),Hand-Supported SL RDL,2,8 / leg,Moderate,,,Keep this as light single-leg posterior-chain prehab.
1,Accumulation,Day 4 (Thu),Front Squat Clusters,3,2.2.2,RPE 7,,,Rest 10-15s in the rack between doubles.
1,Accumulation,Day 4 (Thu),Close-Grip Bench Press,3,8,RPE 7,,,Keep elbows tucked to spare the shoulders.
1,Accumulation,Day 4 (Thu),Spanish Squats,3,12,Moderate,,,Prehab for patellar tracking.
1,Accumulation,Day 5 (Fri),Deadlift,3,5,RPE 7,,,Reset completely between every rep.
1,Accumulation,Day 5 (Fri),Push Press,4,5,RPE 7,,,Aggressive hip drive. Keep bar speed high.
1,Accumulation,Day 5 (Fri),Symmetrical Ring Rows,3,8-10,2 RIR,,,Maintain strict plank position throughout.
1,Accumulation,Day 7 (Sun),Long Easy Run,1,30-45 min,Zone 2,,,Conversational pace only. No intervals.
2,Accumulation,Day 1 (Mon),Broad Jump,3,3,Crisp and submaximal,,,
2,Accumulation,Day 1 (Mon),Back Squat,4,5,RPE 7.5,,,Cap weight if elbow or knee pain is above 2 out of 10.
2,Accumulation,Day 1 (Mon),Deficit Stiff-Leg Deadlift,2,5,RPE 7,,,Strict 4-second slow eccentric.
2,Accumulation,Day 1 (Mon),Symmetrical Ring Pull-ups,3,Max - 2,2 RIR,,,Use neutral grip on rings.
2,Accumulation,Day 2 (Tue),Med-Ball Scoop Toss,3,3,Crisp and fast,,,
2,Accumulation,Day 2 (Tue),Power Clean,5,3,75%,,,Focus on high bar velocity.
2,Accumulation,Day 2 (Tue),Bench Press,4,5,RPE 7.5,,,Leave 2-3 reps in reserve.
2,Accumulation,Day 2 (Tue),Chest-Supported Row,4,10,RPE 7.5,,,
2,Accumulation,Day 2 (Tue),Concept2 Row,1,20-30 min,Zone 2,,,Maintain smooth continuous stroke rate.
2,Accumulation,Day 3 (Wed),Run Intervals,6,60s hard / 60s easy,High,,,Target 5k pacing.
2,Accumulation,Day 3 (Wed),Weighted V-Ups,3,12-15,Moderate,,,
2,Accumulation,Day 3 (Wed),Pallof Press,3,10 / side,Moderate,,,
2,Accumulation,Day 3 (Wed),Hand-Supported SL RDL,2,8 / leg,Moderate,,,
2,Accumulation,Day 4 (Thu),Front Squat Clusters,4,2.2.2,RPE 7.5,,,Rest 10-15s in the rack between doubles.
2,Accumulation,Day 4 (Thu),Close-Grip Bench Press,3,8,RPE 7,,,
2,Accumulation,Day 4 (Thu),Spanish Squats,3,12,Moderate,,,
2,Accumulation,Day 5 (Fri),Deadlift,4,5,RPE 7.5,,,Reset completely between every rep.
2,Accumulation,Day 5 (Fri),Push Press,4,5,RPE 7.5,,,
2,Accumulation,Day 5 (Fri),Symmetrical Ring Rows,3,8-10,2 RIR,,,
2,Accumulation,Day 7 (Sun),Long Easy Run,1,30-45 min,Zone 2,,,Conversational pace only.
3,Accumulation,Day 1 (Mon),Broad Jump,3,3,Crisp and submaximal,,,Prime power before squatting. Stop before fatigue.
3,Accumulation,Day 1 (Mon),Back Squat,4,4,RPE 8,,,Last week of accumulation block. Push load slightly if sleep and recovery were good.
3,Accumulation,Day 1 (Mon),Deficit Stiff-Leg Deadlift,2,5,RPE 7,,,
3,Accumulation,Day 1 (Mon),Symmetrical Ring Pull-ups,3,Max - 2,2 RIR,,,
3,Accumulation,Day 2 (Tue),Med-Ball Scoop Toss,3,3,Crisp and fast,,,
3,Accumulation,Day 2 (Tue),Power Clean,5,2,80%,,,Doubles only. Keep speed high.
3,Accumulation,Day 2 (Tue),Bench Press,4,4,RPE 8,,,Leave 2 reps in reserve.
3,Accumulation,Day 2 (Tue),Chest-Supported Row,4,8-10,RPE 8,,,Drive elbows back without shrugging.
3,Accumulation,Day 2 (Tue),Concept2 Row,1,20-30 min,Zone 2,,,
3,Accumulation,Day 3 (Wed),Run Intervals,8,60s hard / 60s easy,High,,,Peak interval volume without crowding lower-body recovery.
3,Accumulation,Day 3 (Wed),Weighted V-Ups,3,12-15,Moderate,,,
3,Accumulation,Day 3 (Wed),Pallof Press,3,12 / side,Moderate,,,
3,Accumulation,Day 3 (Wed),Hand-Supported SL RDL,2,8 / leg,Moderate,,,
